"player","mp","team","date"
"Azura Stevens",19,"CHI",2026-06-02
"Kamilla Cardoso",33,"CHI",2026-06-02
"Skylar Diggins",27,"CHI",2026-06-02
"Natasha Cloud",24,"CHI",2026-06-02
"Jacy Sheldon",31,"CHI",2026-06-02
"Elizabeth Williams",23,"CHI",2026-06-02
"Rachel Banham",18,"CHI",2026-06-02
"Saylor Poffenbarger",6,"CHI",2026-06-02
"Sydney Taylor",20,"CHI",2026-06-02
"Rickea Jackson",0,"CHI",2026-06-02
"Courtney Vandersloot",0,"CHI",2026-06-02
"DiJonai Carrington",0,"CHI",2026-06-02
"Gabriela Jaquez",0,"CHI",2026-06-02
"Michaela Onyenwere",22,"WSH",2026-06-02
"Kiki Iriafen",27,"WSH",2026-06-02
"Shakira Austin",25,"WSH",2026-06-02
"Cotie Mc",25,"WSH",2026-06-02
"Georgia Amoore",21,"WSH",2026-06-02
"Angela Dugalic",13,"WSH",2026-06-02
"Lauren Betts",15,"WSH",2026-06-02
"Rori Harmon",1,"WSH",2026-06-02
"Lucy Olsen",11,"WSH",2026-06-02
"Cassandre Prosper",20,"WSH",2026-06-02
"Alicia Florez",19,"WSH",2026-06-02
"Bridget Carleton",30,"POR",2026-06-02
"Emily Engstler",29,"POR",2026-06-02
"Nyadiew Puoch",13,"POR",2026-06-02
"Megan Gustafson",24,"POR",2026-06-02
"Carla Leite",24,"POR",2026-06-02
"Frieda Buhner",10,"POR",2026-06-02
"Luisa Geiselsoder",11,"POR",2026-06-02
"Serah Williams",9,"POR",2026-06-02
"Karlie Samuelson",12,"POR",2026-06-02
"Holly Winterburn",4,"POR",2026-06-02
"Sarah Ashlee",23,"POR",2026-06-02
"Teja Oblak",12,"POR",2026-06-02
"Kayla Thornton",26,"GS",2026-06-02
"Gabby Williams",27,"GS",2026-06-02
"Cecilia Zandalasini",23,"GS",2026-06-02
"Kiah Stokes",20,"GS",2026-06-02
"Veronica Burton",23,"GS",2026-06-02
"Laeticia Amihere",1,"GS",2026-06-02
"Janelle Salaun",23,"GS",2026-06-02
"Tiffany Hayes",13,"GS",2026-06-02
"Kaila Charles",13,"GS",2026-06-02
"Kaitlyn Chen",17,"GS",2026-06-02
"Ndjakalenga Mwenentanda",1,"GS",2026-06-02
"Juste Jocyte",13,"GS",2026-06-02
"Stephanie Talbot",25,"LV",2026-06-02
"NaLyssa Smith",21,"LV",2026-06-02
"A'ja WilsonA. Wilson#22",34,"LV",2026-06-02
"Chelsea Gray",34,"LV",2026-06-02
"Jackie Young",36,"LV",2026-06-02
"Cheyenne Parker",8,"LV",2026-06-02
"Brianna Turner",21,"LV",2026-06-02
"Kierstan Bell",22,"LV",2026-06-02
"Janiah Barker",0,"LV",2026-06-02
"Nneka Ogwumike",31,"LA",2026-06-02
"Dearica Hamby",24,"LA",2026-06-02
"Erica Wheeler",26,"LA",2026-06-02
"Ariel Atkins",29,"LA",2026-06-02
"Rae Burrell",33,"LA",2026-06-02
"Cameron Brink",25,"LA",2026-06-02
"Jihyun Park",4,"LA",2026-06-02
"Ta'Niya Latson",6,"LA",2026-06-02
"Chance Gray",21,"LA",2026-06-02
"Emma Cannon",0,"LA",2026-06-02
"Sania Feagin",0,"LA",2026-06-02
"Nyara Sabally",29,"TOR",2026-06-03
"Laura Juskaite",20,"TOR",2026-06-03
"Brittney Sykes",34,"TOR",2026-06-03
"Marina Mabrey",26,"TOR",2026-06-03
"Kiki Rice",23,"TOR",2026-06-03
"Maria Conde",21,"TOR",2026-06-03
"Teonni Key",9,"TOR",2026-06-03
"Nikolina Milic",8,"TOR",2026-06-03
"Kia Nurse",4,"TOR",2026-06-03
"Julie Allemand",23,"TOR",2026-06-03
"Tima Pouye",3,"TOR",2026-06-03
"Breanna Stewart",30,"NY",2026-06-03
"Leonie Fiebich",26,"NY",2026-06-03
"Jonquel Jones",34,"NY",2026-06-03
"Marine Johannes",27,"NY",2026-06-03
"Pauline Astier",28,"NY",2026-06-03
"Satou Sabally",14,"NY",2026-06-03
"Han Xu",10,"NY",2026-06-03
"Rebekah Gardner",15,"NY",2026-06-03
"Betnijah Laney",17,"NY",2026-06-03
"Raquel Carrera",0,"NY",2026-06-03
"Rebecca Allen",0,"NY",2026-06-03
"Alyssa Thomas",34,"PHX",2026-06-03
"Natasha Mack",26,"PHX",2026-06-03
"Noemie Brochant",24,"PHX",2026-06-03
"Kahleah Copper",35,"PHX",2026-06-03
"Monique Akoa",28,"PHX",2026-06-03
"DeWanna Bonner",25,"PHX",2026-06-03
