"player","mp","team","date"
"Valeriane Ayayi",6,"PHX",2026-05-21
"Marta Suarez",9,"PHX",2026-05-21
"Noemie Brochant",15,"PHX",2026-05-21
"Kiana Williams",11,"PHX",2026-05-21
"Sha Carter",0,"PHX",2026-05-21
"Kyara Linskens",0,"PHX",2026-05-21
"Jessica Shepard",31,"DAL",2026-05-22
"Alanna Smith",10,"DAL",2026-05-22
"Odyssey Sims",21,"DAL",2026-05-22
"Arike Ogunbowale",25,"DAL",2026-05-22
"Paige Bueckers",31,"DAL",2026-05-22
"Alysha Clark",4,"DAL",2026-05-22
"Maddy Siegrist",17,"DAL",2026-05-22
"Awak Kuier",17,"DAL",2026-05-22
"Li Yueru",5,"DAL",2026-05-22
"Azzi Fudd",21,"DAL",2026-05-22
"Aziaha James",18,"DAL",2026-05-22
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-22
"Naz Hillmon",36,"ATL",2026-05-22
"Angel Reese",32,"ATL",2026-05-22
"Allisha Gray",34,"ATL",2026-05-22
"Jordin Canada",30,"ATL",2026-05-22
"Rhyne Howard",35,"ATL",2026-05-22
"Sika Kone",4,"ATL",2026-05-22
"Madina Okot",8,"ATL",2026-05-22
"Te-Hina Paopao",13,"ATL",2026-05-22
"Aaliyah Nye",1,"ATL",2026-05-22
"Indya Nivar",5,"ATL",2026-05-22
"Isobel Borlase",2,"ATL",2026-05-22
"Kayla Thornton",27,"GS",2026-05-22
"Gabby Williams",22,"GS",2026-05-22
"Kiah Stokes",23,"GS",2026-05-22
"Kaila Charles",23,"GS",2026-05-22
"Veronica Burton",29,"GS",2026-05-22
"Laeticia Amihere",11,"GS",2026-05-22
"Janelle Salaun",21,"GS",2026-05-22
"Tiffany Hayes",26,"GS",2026-05-22
"Kaitlyn Chen",19,"GS",2026-05-22
"Ndjakalenga Mwenentanda",0,"GS",2026-05-22
"Monique Billings",11,"IND",2026-05-22
"Aliyah Boston",29,"IND",2026-05-22
"Kelsey Mitchell",31,"IND",2026-05-22
"Lexie Hull",24,"IND",2026-05-22
"Caitlin Clark",32,"IND",2026-05-22
"Myisha Hines",13,"IND",2026-05-22
"Makayla Timpson",12,"IND",2026-05-22
"Grace Van",2,"IND",2026-05-22
"Sophie Cunningham",28,"IND",2026-05-22
"Tyasha Harris",2,"IND",2026-05-22
"Raven Johnson",15,"IND",2026-05-22
"Damiris Dantas",0,"IND",2026-05-22
"Aaliyah Edwards",24,"CON",2026-05-22
"Diamond Miller",23,"CON",2026-05-22
"Kennedy Burke",25,"CON",2026-05-22
"Charlisse Leger",30,"CON",2026-05-22
"Gianna Kneepkens",11,"CON",2026-05-22
"Aneesah Morrow",18,"CON",2026-05-22
"Raegan Beers",14,"CON",2026-05-22
"Nell Angloma",14,"CON",2026-05-22
"Hailey Van",10,"CON",2026-05-22
"Saniya Rivers",21,"CON",2026-05-22
"Ashlon Jackson",9,"CON",2026-05-22
"Jordan Horston",22,"SEA",2026-05-22
"Stefanie Dolson",25,"SEA",2026-05-22
"Natisha Hiedeman",27,"SEA",2026-05-22
"Flau'jae JohnsonF. Johnson#4",31,"SEA",2026-05-22
"Jade Melbourne",20,"SEA",2026-05-22
"Joyner Holmes",15,"SEA",2026-05-22
"Mackenzie Holmes",18,"SEA",2026-05-22
"Taylor Thierry",4,"SEA",2026-05-22
"Lexie Brown",13,"SEA",2026-05-22
"Zia Cooke",24,"SEA",2026-05-22
"Natasha Howard",33,"MIN",2026-05-23
"Nia Coffey",25,"MIN",2026-05-23
"Kayla Mc",35,"MIN",2026-05-23
"Courtney Williams",33,"MIN",2026-05-23
"Olivia Miles",33,"MIN",2026-05-23
"Liatu King",10,"MIN",2026-05-23
"Antonia Delaere",11,"MIN",2026-05-23
"Emese Hof",6,"MIN",2026-05-23
"Maya Caldwell",13,"MIN",2026-05-23
"Eliska Hamzova",0,"MIN",2026-05-23
"Kamilla Cardoso",23,"CHI",2026-05-23
"Skylar Diggins",32,"CHI",2026-05-23
"Natasha Cloud",32,"CHI",2026-05-23
"Jacy Sheldon",19,"CHI",2026-05-23
"Gabriela Jaquez",23,"CHI",2026-05-23
"Azura Stevens",16,"CHI",2026-05-23
"Elizabeth Williams",18,"CHI",2026-05-23
"Rachel Banham",17,"CHI",2026-05-23
"Sydney Taylor",20,"CHI",2026-05-23
"Bridget Carleton",28,"POR",2026-05-23
"Emily Engstler",22,"POR",2026-05-23
"Nyadiew Puoch",24,"POR",2026-05-23
"Luisa Geiselsoder",20,"POR",2026-05-23
"Carla Leite",22,"POR",2026-05-23
"Frieda Buhner",13,"POR",2026-05-23
"Megan Gustafson",20,"POR",2026-05-23
"Serah Williams",14,"POR",2026-05-23
"Holly Winterburn",1,"POR",2026-05-23
"Sarah Ashlee",19,"POR",2026-05-23
"Teja Oblak",17,"POR",2026-05-23
"Karlie Samuelson",0,"POR",2026-05-23
"Nyara Sabally",23,"TOR",2026-05-23
"Laura Juskaite",20,"TOR",2026-05-23
"Brittney Sykes",34,"TOR",2026-05-23
"Marina Mabrey",28,"TOR",2026-05-23
"Kiki Rice",30,"TOR",2026-05-23
"Maria Conde",23,"TOR",2026-05-23
"Teonni Key",11,"TOR",2026-05-23
"Nikolina Milic",8,"TOR",2026-05-23
"Mariella Fasoula",3,"TOR",2026-05-23
"Kia Nurse",12,"TOR",2026-05-23
"Lexi Held",8,"TOR",2026-05-23
"Dearica Hamby",36,"LA",2026-05-23
"Cameron Brink",24,"LA",2026-05-23
"Erica Wheeler",34,"LA",2026-05-23
"Kelsey Plum",37,"LA",2026-05-23
"Ariel Atkins",30,"LA",2026-05-23
"Emma Cannon",1,"LA",2026-05-23
"Jihyun Park",7,"LA",2026-05-23
"Rae Burrell",25,"LA",2026-05-23
"Kate Martin",6,"LA",2026-05-23
"Ta'Niya Latson",0,"LA",2026-05-23
"Chance Gray",0,"LA",2026-05-23
"Stephanie Talbot",16,"LV",2026-05-23
"NaLyssa Smith",28,"LV",2026-05-23
"A'ja WilsonA. Wilson#22",35,"LV",2026-05-23
"Chelsea Gray",37,"LV",2026-05-23
"Jackie Young",19,"LV",2026-05-23
"Brianna Turner",8,"LV",2026-05-23
"Jewell Loyd",29,"LV",2026-05-23
"Chennedy Carter",26,"LV",2026-05-23
"Cheyenne Parker",0,"LV",2026-05-23
"Kierstan Bell",0,"LV",2026-05-23
"Janiah Barker",0,"LV",2026-05-23
"Alyssa Thomas",36,"PHX",2026-05-24
"Natasha Mack",16,"PHX",2026-05-24
"Noemie Brochant",31,"PHX",2026-05-24
"Kahleah Copper",30,"PHX",2026-05-24
"Jovana Nogic",21,"PHX",2026-05-24
"DeWanna Bonner",24,"PHX",2026-05-24
"Marta Suarez",10,"PHX",2026-05-24
"Kyara Linskens",12,"PHX",2026-05-24
"Kiana Williams",20,"PHX",2026-05-24
"Valeriane Ayayi",0,"PHX",2026-05-24
"Sha Carter",0,"PHX",2026-05-24
"Naz Hillmon",23,"ATL",2026-05-24
"Angel Reese",32,"ATL",2026-05-24
"Allisha Gray",36,"ATL",2026-05-24
"Jordin Canada",31,"ATL",2026-05-24
"Rhyne Howard",34,"ATL",2026-05-24
"Sika Kone",6,"ATL",2026-05-24
"Madina Okot",7,"ATL",2026-05-24
"Te-Hina Paopao",14,"ATL",2026-05-24
"Aaliyah Nye",0,"ATL",2026-05-24
"Indya Nivar",2,"ATL",2026-05-24
"Isobel Borlase",16,"ATL",2026-05-24
"Jessica Shepard",33,"DAL",2026-05-24
"Alanna Smith",15,"DAL",2026-05-24
"Odyssey Sims",8,"DAL",2026-05-24
"Arike Ogunbowale",38,"DAL",2026-05-24
"Paige Bueckers",36,"DAL",2026-05-24
"Maddy Siegrist",6,"DAL",2026-05-24
"Awak Kuier",24,"DAL",2026-05-24
"Li Yueru",3,"DAL",2026-05-24
"Azzi Fudd",32,"DAL",2026-05-24
"Aziaha James",4,"DAL",2026-05-24
"Alysha Clark",0,"DAL",2026-05-24
"Dulcy Fankam",0,"DAL",2026-05-24
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-24
"Costanza Verona",0,"DAL",2026-05-24
"Breanna Stewart",34,"NY",2026-05-24
"Satou Sabally",25,"NY",2026-05-24
"Jonquel Jones",29,"NY",2026-05-24
"Marine Johannes",22,"NY",2026-05-24
"Sabrina Ionescu",31,"NY",2026-05-24
"Anneli Maley",11,"NY",2026-05-24
"Raquel Carrera",1,"NY",2026-05-24
"Han Xu",12,"NY",2026-05-24
"Rebekah Gardner",16,"NY",2026-05-24
"Pauline Astier",18,"NY",2026-05-24
"Rebecca Allen",0,"NY",2026-05-24
"Michaela Onyenwere",17,"WSH",2026-05-24
"Kiki Iriafen",26,"WSH",2026-05-24
"Shakira Austin",29,"WSH",2026-05-24
"Sonia Citron",32,"WSH",2026-05-24
"Georgia Amoore",26,"WSH",2026-05-24
"Angela Dugalic",12,"WSH",2026-05-24
"Lauren Betts",13,"WSH",2026-05-24
"Rori Harmon",3,"WSH",2026-05-24
"Lucy Olsen",4,"WSH",2026-05-24
"Cotie Mc",16,"WSH",2026-05-24
"Cassandre Prosper",22,"WSH",2026-05-24
"Alex Wilson",0,"WSH",2026-05-24
"Jordan Horston",20,"SEA",2026-05-24
"Stefanie Dolson",26,"SEA",2026-05-24
"Natisha Hiedeman",28,"SEA",2026-05-24
"Flau'jae JohnsonF. Johnson#4",25,"SEA",2026-05-24
"Jade Melbourne",25,"SEA",2026-05-24
"Katie Lou",18,"SEA",2026-05-24
"Mackenzie Holmes",14,"SEA",2026-05-24
"Awa Fam",20,"SEA",2026-05-24
"Lexie Brown",8,"SEA",2026-05-24
"Zia Cooke",17,"SEA",2026-05-24
"Joyner Holmes",0,"SEA",2026-05-24
"Bridget Carleton",30,"POR",2026-05-25
"Emily Engstler",28,"POR",2026-05-25
"Nyadiew Puoch",20,"POR",2026-05-25
"Luisa Geiselsoder",22,"POR",2026-05-25
"Carla Leite",22,"POR",2026-05-25
"Megan Gustafson",18,"POR",2026-05-25
"Serah Williams",11,"POR",2026-05-25
"Karlie Samuelson",13,"POR",2026-05-25
"Sarah Ashlee",18,"POR",2026-05-25
"Teja Oblak",18,"POR",2026-05-25
"Frieda Buhner",0,"POR",2026-05-25
"Holly Winterburn",0,"POR",2026-05-25
"Jordan Harrison",0,"POR",2026-05-25
"Breanna Stewart",33,"NY",2026-05-25
"Satou Sabally",4,"NY",2026-05-25
"Jonquel Jones",32,"NY",2026-05-25
"Marine Johannes",32,"NY",2026-05-25
"Pauline Astier",32,"NY",2026-05-25
"Anneli Maley",11,"NY",2026-05-25
"Han Xu",16,"NY",2026-05-25
"Rebekah Gardner",17,"NY",2026-05-25
"Rebecca Allen",24,"NY",2026-05-25
"Raquel Carrera",0,"NY",2026-05-25
"Aaliyah Edwards",21,"CON",2026-05-25
"Diamond Miller",17,"CON",2026-05-25
"Kennedy Burke",20,"CON",2026-05-25
"Charlisse Leger",19,"CON",2026-05-25
"Gianna Kneepkens",12,"CON",2026-05-25
"Aneesah Morrow",23,"CON",2026-05-25
"Raegan Beers",7,"CON",2026-05-25
"Nell Angloma",14,"CON",2026-05-25
"Olivia Nelson",12,"CON",2026-05-25
"Hailey Van",20,"CON",2026-05-25
"Saniya Rivers",22,"CON",2026-05-25
"Ashlon Jackson",14,"CON",2026-05-25
"Kayla Thornton",16,"GS",2026-05-25
"Gabby Williams",18,"GS",2026-05-25
"Kiah Stokes",13,"GS",2026-05-25
"Kaila Charles",21,"GS",2026-05-25
"Veronica Burton",17,"GS",2026-05-25
"Cecilia Zandalasini",14,"GS",2026-05-25
"Laeticia Amihere",19,"GS",2026-05-25
"Ashten Prechtel",5,"GS",2026-05-25
"Janelle Salaun",26,"GS",2026-05-25
"Tiffany Hayes",17,"GS",2026-05-25
"Kaitlyn Chen",23,"GS",2026-05-25
"Ndjakalenga Mwenentanda",6,"GS",2026-05-25
"Juste Jocyte",5,"GS",2026-05-25
"Alyssa Thomas",32,"PHX",2026-05-27
"Natasha Mack",28,"PHX",2026-05-27
"Noemie Brochant",19,"PHX",2026-05-27
"Kahleah Copper",36,"PHX",2026-05-27
"Monique Akoa",19,"PHX",2026-05-27
"DeWanna Bonner",24,"PHX",2026-05-27
"Valeriane Ayayi",9,"PHX",2026-05-27
"Kyara Linskens",12,"PHX",2026-05-27
"Jovana Nogic",14,"PHX",2026-05-27
"Kiana Williams",7,"PHX",2026-05-27
"Marta Suarez",0,"PHX",2026-05-27
"Sha Carter",0,"PHX",2026-05-27
"Breanna Stewart",34,"NY",2026-05-27
"Leonie Fiebich",33,"NY",2026-05-27
"Jonquel Jones",31,"NY",2026-05-27
"Marine Johannes",24,"NY",2026-05-27
"Pauline Astier",23,"NY",2026-05-27
"Raquel Carrera",1,"NY",2026-05-27
"Han Xu",11,"NY",2026-05-27
"Rebekah Gardner",18,"NY",2026-05-27
"Betnijah Laney",13,"NY",2026-05-27
"Rebecca Allen",13,"NY",2026-05-27
"Nyara Sabally",28,"TOR",2026-05-27
"Laura Juskaite",22,"TOR",2026-05-27
"Brittney Sykes",35,"TOR",2026-05-27
"Marina Mabrey",28,"TOR",2026-05-27
"Kiki Rice",34,"TOR",2026-05-27
"Maria Conde",21,"TOR",2026-05-27
"Teonni Key",10,"TOR",2026-05-27
"Nikolina Milic",8,"TOR",2026-05-27
"Kia Nurse",8,"TOR",2026-05-27
"Lexi Held",6,"TOR",2026-05-27
"Azura Stevens",15,"CHI",2026-05-27
"Kamilla Cardoso",22,"CHI",2026-05-27
"Skylar Diggins",36,"CHI",2026-05-27
"Natasha Cloud",31,"CHI",2026-05-27
"Jacy Sheldon",19,"CHI",2026-05-27
"Elizabeth Williams",23,"CHI",2026-05-27
"Rachel Banham",13,"CHI",2026-05-27
"Aicha Coulibaly",18,"CHI",2026-05-27
"Sydney Taylor",23,"CHI",2026-05-27
"Saylor Poffenbarger",0,"CHI",2026-05-27
"Naz Hillmon",32,"ATL",2026-05-27
"Angel Reese",27,"ATL",2026-05-27
"Allisha Gray",31,"ATL",2026-05-27
"Jordin Canada",29,"ATL",2026-05-27
"Rhyne Howard",36,"ATL",2026-05-27
"Sika Kone",9,"ATL",2026-05-27
"Madina Okot",5,"ATL",2026-05-27
"Te-Hina Paopao",11,"ATL",2026-05-27
"Aaliyah Nye",2,"ATL",2026-05-27
"Indya Nivar",5,"ATL",2026-05-27
"Isobel Borlase",13,"ATL",2026-05-27
"Natasha Howard",33,"MIN",2026-05-27
"Nia Coffey",31,"MIN",2026-05-27
"Kayla Mc",34,"MIN",2026-05-27
"Courtney Williams",33,"MIN",2026-05-27
"Olivia Miles",34,"MIN",2026-05-27
"Liatu King",9,"MIN",2026-05-27
"Antonia Delaere",6,"MIN",2026-05-27
"Anastasiia Olairi",7,"MIN",2026-05-27
"Maya Caldwell",14,"MIN",2026-05-27
"Aaliyah Edwards",5,"CON",2026-05-27
"Diamond Miller",20,"CON",2026-05-27
"Aneesah Morrow",29,"CON",2026-05-27
"Saniya Rivers",23,"CON",2026-05-27
"Charlisse Leger",27,"CON",2026-05-27
"Raegan Beers",14,"CON",2026-05-27
"Nell Angloma",4,"CON",2026-05-27
"Olivia Nelson",21,"CON",2026-05-27
"Kennedy Burke",18,"CON",2026-05-27
"Hailey Van",13,"CON",2026-05-27
"Gianna Kneepkens",9,"CON",2026-05-27
"Ashlon Jackson",17,"CON",2026-05-27
"Bridget Carleton",29,"POR",2026-05-27
"Emily Engstler",19,"POR",2026-05-27
"Nyadiew Puoch",18,"POR",2026-05-27
"Luisa Geiselsoder",19,"POR",2026-05-27
"Carla Leite",23,"POR",2026-05-27
"Frieda Buhner",13,"POR",2026-05-27
"Megan Gustafson",18,"POR",2026-05-27
"Serah Williams",11,"POR",2026-05-27
"Karlie Samuelson",12,"POR",2026-05-27
"Sarah Ashlee",22,"POR",2026-05-27
"Teja Oblak",17,"POR",2026-05-27
"Holly Winterburn",0,"POR",2026-05-27
"Michaela Onyenwere",22,"WSH",2026-05-27
"Kiki Iriafen",24,"WSH",2026-05-27
"Shakira Austin",29,"WSH",2026-05-27
"Sonia Citron",30,"WSH",2026-05-27
"Georgia Amoore",27,"WSH",2026-05-27
"Angela Dugalic",16,"WSH",2026-05-27
"Lauren Betts",11,"WSH",2026-05-27
"Cotie Mc",8,"WSH",2026-05-27
"Cassandre Prosper",10,"WSH",2026-05-27
"Alicia Florez",23,"WSH",2026-05-27
"Rori Harmon",0,"WSH",2026-05-27
"Lucy Olsen",0,"WSH",2026-05-27
"Alex Wilson",0,"WSH",2026-05-27
"Jordan Horston",19,"SEA",2026-05-27
"Stefanie Dolson",20,"SEA",2026-05-27
"Natisha Hiedeman",28,"SEA",2026-05-27
"Flau'jae JohnsonF. Johnson#4",29,"SEA",2026-05-27
"Jade Melbourne",23,"SEA",2026-05-27
"Katie Lou",15,"SEA",2026-05-27
"Mackenzie Holmes",20,"SEA",2026-05-27
"Awa Fam",17,"SEA",2026-05-27
"Lexie Brown",11,"SEA",2026-05-27
"Zia Cooke",18,"SEA",2026-05-27
"Joyner Holmes",0,"SEA",2026-05-27
"Stephanie Talbot",7,"LV",2026-05-28
"NaLyssa Smith",27,"LV",2026-05-28
"A'ja WilsonA. Wilson#22",35,"LV",2026-05-28
"Chelsea Gray",34,"LV",2026-05-28
"Jackie Young",33,"LV",2026-05-28
"Cheyenne Parker",8,"LV",2026-05-28
"Kierstan Bell",9,"LV",2026-05-28
"Jewell Loyd",28,"LV",2026-05-28
"Chennedy Carter",19,"LV",2026-05-28
"Brianna Turner",0,"LV",2026-05-28
"Janiah Barker",0,"LV",2026-05-28
"Jessica Shepard",38,"DAL",2026-05-28
"Maddy Siegrist",17,"DAL",2026-05-28
"Arike Ogunbowale",18,"DAL",2026-05-28
"Paige Bueckers",38,"DAL",2026-05-28
"Azzi Fudd",38,"DAL",2026-05-28
"Alysha Clark",18,"DAL",2026-05-28
"Awak Kuier",21,"DAL",2026-05-28
"Odyssey Sims",6,"DAL",2026-05-28
"Aziaha James",6,"DAL",2026-05-28
"Dulcy Fankam",0,"DAL",2026-05-28
"Li Yueru",0,"DAL",2026-05-28
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-28
"Monique Billings",19,"IND",2026-05-28
"Aliyah Boston",22,"IND",2026-05-28
"Kelsey Mitchell",30,"IND",2026-05-28
"Lexie Hull",23,"IND",2026-05-28
"Caitlin Clark",29,"IND",2026-05-28
"Myisha Hines",16,"IND",2026-05-28
"Makayla Timpson",15,"IND",2026-05-28
"Sophie Cunningham",25,"IND",2026-05-28
"Raven Johnson",21,"IND",2026-05-28
"Grace Van",0,"IND",2026-05-28
"Damiris Dantas",0,"IND",2026-05-28
"Tyasha Harris",0,"IND",2026-05-28
"Kayla Thornton",18,"GS",2026-05-28
"Gabby Williams",28,"GS",2026-05-28
"Kiah Stokes",26,"GS",2026-05-28
"Kaila Charles",15,"GS",2026-05-28
"Veronica Burton",29,"GS",2026-05-28
"Cecilia Zandalasini",14,"GS",2026-05-28
"Laeticia Amihere",14,"GS",2026-05-28
"Janelle Salaun",24,"GS",2026-05-28
"Tiffany Hayes",5,"GS",2026-05-28
"Kaitlyn Chen",11,"GS",2026-05-28
"Juste Jocyte",16,"GS",2026-05-28
"Ashten Prechtel",0,"GS",2026-05-28
"Ndjakalenga Mwenentanda",0,"GS",2026-05-28
"Alyssa Thomas",36,"PHX",2026-05-29
"Natasha Mack",28,"PHX",2026-05-29
"Noemie Brochant",21,"PHX",2026-05-29
"Kahleah Copper",37,"PHX",2026-05-29
"Monique Akoa",29,"PHX",2026-05-29
"DeWanna Bonner",22,"PHX",2026-05-29
"Valeriane Ayayi",3,"PHX",2026-05-29
"Kyara Linskens",12,"PHX",2026-05-29
"Jovana Nogic",12,"PHX",2026-05-29
"Kiana Williams",0,"PHX",2026-05-29
"Sha Carter",0,"PHX",2026-05-29
"Breanna Stewart",29,"NY",2026-05-29
"Leonie Fiebich",30,"NY",2026-05-29
"Jonquel Jones",31,"NY",2026-05-29
"Marine Johannes",19,"NY",2026-05-29
"Pauline Astier",31,"NY",2026-05-29
"Satou Sabally",10,"NY",2026-05-29
"Han Xu",17,"NY",2026-05-29
"Rebekah Gardner",15,"NY",2026-05-29
"Betnijah Laney",15,"NY",2026-05-29
"Rebecca Allen",3,"NY",2026-05-29
"Raquel Carrera",0,"NY",2026-05-29
"Nneka Ogwumike",33,"LA",2026-05-29
"Dearica Hamby",30,"LA",2026-05-29
"Erica Wheeler",35,"LA",2026-05-29
"Ariel Atkins",29,"LA",2026-05-29
"Rae Burrell",32,"LA",2026-05-29
"Cameron Brink",17,"LA",2026-05-29
"Jihyun Park",6,"LA",2026-05-29
"Ta'Niya Latson",5,"LA",2026-05-29
"Chance Gray",13,"LA",2026-05-29
"Emma Cannon",0,"LA",2026-05-29
"Michaela Onyenwere",24,"WSH",2026-05-29
"Kiki Iriafen",27,"WSH",2026-05-29
"Shakira Austin",25,"WSH",2026-05-29
"Sonia Citron",37,"WSH",2026-05-29
"Georgia Amoore",23,"WSH",2026-05-29
"Angela Dugalic",17,"WSH",2026-05-29
"Lauren Betts",10,"WSH",2026-05-29
"Cotie Mc",5,"WSH",2026-05-29
"Cassandre Prosper",6,"WSH",2026-05-29
"Alicia Florez",25,"WSH",2026-05-29
"Rori Harmon",0,"WSH",2026-05-29
"Lucy Olsen",0,"WSH",2026-05-29
"Alex Wilson",0,"WSH",2026-05-29
"Natasha Howard",29,"MIN",2026-05-29
"Nia Coffey",26,"MIN",2026-05-29
"Kayla Mc",31,"MIN",2026-05-29
"Courtney Williams",29,"MIN",2026-05-29
"Olivia Miles",32,"MIN",2026-05-29
"Liatu King",10,"MIN",2026-05-29
"Antonia Delaere",11,"MIN",2026-05-29
"Anastasiia Olairi",5,"MIN",2026-05-29
"Teaira Mc",10,"MIN",2026-05-29
"Maya Caldwell",17,"MIN",2026-05-29
"Azura Stevens",18,"CHI",2026-05-29
"Kamilla Cardoso",28,"CHI",2026-05-29
"Skylar Diggins",29,"CHI",2026-05-29
"Natasha Cloud",31,"CHI",2026-05-29
"Jacy Sheldon",20,"CHI",2026-05-29
"Elizabeth Williams",19,"CHI",2026-05-29
"Rachel Banham",23,"CHI",2026-05-29
"Aicha Coulibaly",11,"CHI",2026-05-29
"Saylor Poffenbarger",1,"CHI",2026-05-29
"Sydney Taylor",20,"CHI",2026-05-29
"Naz Hillmon",36,"ATL",2026-05-29
"Angel Reese",32,"ATL",2026-05-29
"Allisha Gray",30,"ATL",2026-05-29
"Jordin Canada",27,"ATL",2026-05-29
"Rhyne Howard",34,"ATL",2026-05-29
"Sika Kone",5,"ATL",2026-05-29
"Madina Okot",7,"ATL",2026-05-29
"Te-Hina Paopao",14,"ATL",2026-05-29
"Aaliyah Nye",1,"ATL",2026-05-29
"Indya Nivar",4,"ATL",2026-05-29
"Isobel Borlase",10,"ATL",2026-05-29
"Emily Engstler",18,"POR",2026-05-29
"Nyadiew Puoch",17,"POR",2026-05-29
"Luisa Geiselsoder",22,"POR",2026-05-29
"Holly Winterburn",28,"POR",2026-05-29
"Carla Leite",24,"POR",2026-05-29
"Frieda Buhner",14,"POR",2026-05-29
"Megan Gustafson",18,"POR",2026-05-29
"Serah Williams",20,"POR",2026-05-29
"Karlie Samuelson",19,"POR",2026-05-29
"Sarah Ashlee",21,"POR",2026-05-29
"Teja Oblak",0,"POR",2026-05-29
"Jordan Horston",22,"SEA",2026-05-30
"Stefanie Dolson",23,"SEA",2026-05-30
"Natisha Hiedeman",23,"SEA",2026-05-30
"Flau'jae JohnsonF. Johnson#4",24,"SEA",2026-05-30
"Jade Melbourne",27,"SEA",2026-05-30
"Katie Lou",17,"SEA",2026-05-30
"Mackenzie Holmes",15,"SEA",2026-05-30
"Awa Fam",24,"SEA",2026-05-30
"Lexie Brown",14,"SEA",2026-05-30
"Zia Cooke",11,"SEA",2026-05-30
"Joyner Holmes",0,"SEA",2026-05-30
"Nyara Sabally",26,"TOR",2026-05-30
"Laura Juskaite",25,"TOR",2026-05-30
"Brittney Sykes",29,"TOR",2026-05-30
"Marina Mabrey",29,"TOR",2026-05-30
"Kiki Rice",28,"TOR",2026-05-30
"Maria Conde",23,"TOR",2026-05-30
"Teonni Key",9,"TOR",2026-05-30
"Kia Nurse",10,"TOR",2026-05-30
"Julie Allemand",17,"TOR",2026-05-30
"Tima Pouye",4,"TOR",2026-05-30
"Nikolina Milic",0,"TOR",2026-05-30
"Nneka Ogwumike",33,"LA",2026-05-30
"Dearica Hamby",30,"LA",2026-05-30
"Erica Wheeler",30,"LA",2026-05-30
"Ariel Atkins",32,"LA",2026-05-30
"Rae Burrell",27,"LA",2026-05-30
"Cameron Brink",18,"LA",2026-05-30
"Kate Martin",13,"LA",2026-05-30
"Ta'Niya Latson",5,"LA",2026-05-30
"Chance Gray",13,"LA",2026-05-30
"Emma Cannon",0,"LA",2026-05-30
"Sania Feagin",0,"LA",2026-05-30
"Jihyun Park",0,"LA",2026-05-30
"Diamond Miller",20,"CON",2026-05-30
"Aneesah Morrow",32,"CON",2026-05-30
"Brittney Griner",15,"CON",2026-05-30
"Saniya Rivers",29,"CON",2026-05-30
"Leila Lacan",21,"CON",2026-05-30
"Raegan Beers",11,"CON",2026-05-30
"Nell Angloma",11,"CON",2026-05-30
"Olivia Nelson",17,"CON",2026-05-30
"Kennedy Burke",24,"CON",2026-05-30
"Charlisse Leger",13,"CON",2026-05-30
"Gianna Kneepkens",6,"CON",2026-05-30
"Monique Billings",8,"IND",2026-05-30
"Aliyah Boston",26,"IND",2026-05-30
"Kelsey Mitchell",33,"IND",2026-05-30
"Lexie Hull",16,"IND",2026-05-30
"Caitlin Clark",22,"IND",2026-05-30
"Myisha Hines",18,"IND",2026-05-30
"Makayla Timpson",25,"IND",2026-05-30
"Grace Van",6,"IND",2026-05-30
"Sophie Cunningham",26,"IND",2026-05-30
"Tyasha Harris",12,"IND",2026-05-30
"Raven Johnson",10,"IND",2026-05-30
"Damiris Dantas",0,"IND",2026-05-30
"Bridget Carleton",32,"POR",2026-05-30
"Emily Engstler",29,"POR",2026-05-30
"Nyadiew Puoch",16,"POR",2026-05-30
"Megan Gustafson",28,"POR",2026-05-30
"Carla Leite",27,"POR",2026-05-30
"Frieda Buhner",14,"POR",2026-05-30
"Luisa Geiselsoder",12,"POR",2026-05-30
"Holly Winterburn",3,"POR",2026-05-30
"Sarah Ashlee",28,"POR",2026-05-30
"Teja Oblak",10,"POR",2026-05-30
"Serah Williams",0,"POR",2026-05-30
"Stephanie Talbot",32,"LV",2026-05-31
"NaLyssa Smith",25,"LV",2026-05-31
"A'ja WilsonA. Wilson#22",36,"LV",2026-05-31
"Chelsea Gray",36,"LV",2026-05-31
"Jackie Young",37,"LV",2026-05-31
"Brianna Turner",10,"LV",2026-05-31
"Kierstan Bell",14,"LV",2026-05-31
"Chennedy Carter",9,"LV",2026-05-31
"Cheyenne Parker",0,"LV",2026-05-31
"Janiah Barker",0,"LV",2026-05-31
"Kayla Thornton",27,"GS",2026-05-31
"Gabby Williams",26,"GS",2026-05-31
"Cecilia Zandalasini",21,"GS",2026-05-31
"Kiah Stokes",24,"GS",2026-05-31
"Veronica Burton",28,"GS",2026-05-31
"Laeticia Amihere",7,"GS",2026-05-31
"Janelle Salaun",21,"GS",2026-05-31
"Tiffany Hayes",14,"GS",2026-05-31
"Kaila Charles",11,"GS",2026-05-31
"Kaitlyn Chen",12,"GS",2026-05-31
"Ndjakalenga Mwenentanda",4,"GS",2026-05-31
"Juste Jocyte",5,"GS",2026-05-31
"Jordan Horston",27,"SEA",2026-06-01
"Stefanie Dolson",20,"SEA",2026-06-01
"Natisha Hiedeman",26,"SEA",2026-06-01
"Flau'jae JohnsonF. Johnson#4",25,"SEA",2026-06-01
