"player","team","g","mp","mp_g"
"Dulcy Fankam","DAL",3,0,0
"Haley Jones","DAL",3,0,0
"Jessica Shepard","DAL",23,745,32.39
"JJ Quinerly","DAL",13,13,1
"Li Yueru","DAL",22,122,5.55
"Maddy Siegrist","DAL",23,314,13.65
"Odyssey Sims","DAL",13,202,15.54
"Paige Bueckers","DAL",22,729,33.14
"Sug Sutton","DAL",10,90,9
"Ashten Prechtel","GSV",4,5,1.25
"Cecilia Zandalasini","GSV",20,353,17.65
"Gabby Williams","GSV",24,609,25.38
"Janelle Salaün","GSV",24,539,22.46
"Justė Jocytė","GSV",19,56,2.95
"Kaila Charles","GSV",24,471,19.62
"Kaitlyn Chen","GSV",24,354,14.75
"Kayla Thornton","GSV",24,601,25.04
"Kiah Stokes","GSV",24,541,22.54
"Laeticia Amihere","GSV",24,232,9.67
"Miela Sowah","GSV",4,6,1.5
"Nadia Fingall","GSV",13,8,0.62
"Ndjakalenga Mwenentanda","GSV",11,13,1.18
"Tiffany Hayes","GSV",22,348,15.82
"Veronica Burton","GSV",24,663,27.62
"Aliyah Boston","IND",20,531,26.55
"Bree Hall","IND",7,21,3
"Caitlin Clark","IND",18,536,29.78
"Damiris Dantas","IND",22,92,4.18
"Grace VanSlooten","IND",17,26,1.53
"Justine Pissott","IND",2,0,0
"Kelsey Mitchell","IND",22,703,31.95
"Lexie Hull","IND",22,444,20.18
"Makayla Timpson","IND",22,274,12.45
"Monique Billings","IND",21,422,20.1
"Myisha Hines-Allen","IND",22,335,15.23
"Raven Johnson","IND",22,320,14.55
"Shatori Walker-Kimbrough","IND",5,6,1.2
"Sophie Cunningham","IND",21,467,22.24
"Tyasha Harris","IND",22,247,11.23
"Alissa Pili","LAS",2,12,6
"Ariel Atkins","LAS",20,496,24.8
"Cameron Brink","LAS",14,244,17.43
"Chance Gray","LAS",22,214,9.73
"Dearica Hamby","LAS",22,641,29.14
"Emma Cannon","LAS",22,67,3.05
"Erica Wheeler","LAS",22,590,26.82
"Jihyun Park","LAS",22,179,8.14
"Kate Martin","LAS",12,94,7.83
"Kelsey Plum","LAS",12,415,34.58
"Kiana Williams","LAS",7,110,15.71
"Laura Ziegler","LAS",7,48,6.86
"Nneka Ogwumike","LAS",21,651,31
"Rae Burrell","LAS",22,596,27.09
"Sania Feagin","LAS",9,10,1.11
"Ta'Niya Latson","LAS",20,61,3.05
"A'ja Wilson","LVA",20,645,32.25
"Brianna Turner","LVA",23,195,8.48
"Chelsea Gray","LVA",23,762,33.13
"Chennedy Carter","LVA",14,243,17.36
"Cheyenne Parker-Tyus","LVA",23,233,10.13
"Jackie Young","LVA",23,751,32.65
"Janiah Barker","LVA",9,0,0
"Jewell Loyd","LVA",21,585,27.86
"Kierstan Bell","LVA",23,209,9.09
"NaLyssa Smith","LVA",23,551,23.96
"Stephanie Talbot","LVA",23,428,18.61
"Anastasiia Kosu","MIN",21,241,11.48
"Antonia Delaere","MIN",22,305,13.86
"Courtney Williams","MIN",22,668,30.36
"Dorka Juhász","MIN",3,44,14.67
"Eliška Hamzová","MIN",11,52,4.73
"Emese Hof","MIN",3,20,6.67
"Emma Čechová","MIN",4,52,13
"Kayla McBride","MIN",22,705,32.05
"Liatu King","MIN",11,70,6.36
"Maya Caldwell","MIN",22,321,14.59
"Napheesa Collier","MIN",1,0,0
"Natasha Howard","MIN",22,650,29.55
"Nia Coffey","MIN",22,579,26.32
"Olivia Miles","MIN",20,607,30.35
"Teaira McCowan","MIN",11,68,6.18
"Alex Fowler","NYL",2,32,16
"Anneli Maley","NYL",5,22,4.4
"Aubrey Griffin","NYL",4,7,1.75
"Betnijah Laney-Hamilton","NYL",19,282,14.84
"Breanna Stewart","NYL",22,722,32.82
"Han Xu","NYL",24,280,11.67
"Jonquel Jones","NYL",23,682,29.65
"Julie Vanloo","NYL",5,81,16.2
"Leonie Fiebich","NYL",16,471,29.44
"Marine Fauthoux","NYL",4,16,4
"Marine Johannes","NYL",24,554,23.08
"Pauline Astier","NYL",24,591,24.62
"Raquel Carrera Quintana","NYL",19,82,4.32
"Rebecca Allen","NYL",22,85,3.86
"Rebekah Gardner","NYL",24,348,14.5
"Sabrina Ionescu","NYL",13,350,26.92
"Satou Sabally","NYL",14,217,15.5
"Alyssa Thomas","PHO",20,663,33.15
"Anneli Maley","PHO",4,6,1.5
"DeWanna Bonner","PHO",23,613,26.65
"Jovana Nogić","PHO",16,319,19.94
"Kahleah Copper","PHO",22,715,32.5
"Kiana Williams","PHO",9,105,11.67
"Kyara Linskens","PHO",23,179,7.78
"Lexi Held","PHO",14,323,23.07
"Marta Suárez","PHO",10,84,8.4
"Monique Akoa Makani","PHO",11,259,23.55
"Natasha Mack","PHO",19,450,23.68
"Noémie Brochant","PHO",23,498,21.65
"Peyton Williams","PHO",2,6,3
"Quionche Carter","PHO",13,73,5.62
"Sami Whitcomb","PHO",2,0,0
"Sha Carter","PHO",9,18,2
"Shay Ciezki","PHO",3,18,6
"Valeriane Ayayi","PHO",21,268,12.76
"Bridget Carleton","POR",21,622,29.62
"Carla Leite","POR",20,494,24.7
"Emily Engstler","POR",22,500,22.73
"Frieda Bühner","POR",21,277,13.19
"Haley Jones","POR",5,58,11.6
"Holly Winterburn","POR",19,85,4.47
"Jordan Harrison","POR",6,42,7
"Kamiah Smalls","POR",2,30,15
"Karlie Samuelson","POR",13,144,11.08
"Luisa Geiselsöder","POR",22,313,14.23
"Megan Gustafson","POR",22,482,21.91
"Nyadiew Puoch","POR",21,355,16.9
"Sarah Ashlee Barker","POR",22,551,25.05
"Serah Williams","POR",21,194,9.24
"Sug Sutton","POR",3,69,23
"Teja Oblak","POR",18,211,11.72
"Awa Fam","SEA",19,551,29
"Dominique Malonga","SEA",18,440,24.44
"Ezi Magbegor","SEA",3,46,15.33
"Flau'jae Johnson","SEA",25,712,28.48
"Grace VanSlooten","SEA",4,47,11.75
"Jade Melbourne","SEA",24,566,23.58
"Jordan Horston","SEA",18,345,19.17
"Joyner Holmes","SEA",6,15,2.5
"Katie Lou Samuelson","SEA",19,296,15.58
"Lexie Brown","SEA",11,149,13.55
"Mackenzie Holmes","SEA",25,227,9.08
"Natisha Hiedeman","SEA",25,718,28.72
"Stefanie Dolson","SEA",25,456,18.24
"Taina Mair","SEA",8,12,1.5
"Taylor Thierry","SEA",17,48,2.82
"Zia Cooke","SEA",25,378,15.12
"Brittney Sykes","TOR",16,472,29.5
"Isabelle Harrison","TOR",13,318,24.46
"Julie Allemand","TOR",17,485,28.53
"Kia Nurse","TOR",23,280,12.17
"Kiki Rice","TOR",11,267,24.27
"Laura Juškaitė","TOR",23,488,21.22
"Lexi Held","TOR",8,61,7.62
"Maria Conde","TOR",23,596,25.91
"Mariella Fasoula","TOR",6,15,2.5
"Marina Mabrey","TOR",23,607,26.39
"Nikolina Milic","TOR",8,63,7.88
"Nyara Sabally","TOR",18,402,22.33
"Ornella Bankole","TOR",1,8,8
"Temi Fagbenle","TOR",10,181,18.1
"Teonni Key","TOR",23,194,8.43
"Tima Pouye","TOR",15,167,11.13
"Ally Wilson","WAS",7,58,8.29
"Alicia Flórez","WAS",16,203,12.69
"Angela Dugalić","WAS",21,274,13.05
"Cassandre Prosper","WAS",21,221,10.52
"Cotie McMahon","WAS",19,400,21.05
"Darianna Littlepage","WAS",8,0,0
"Georgia Amoore","WAS",21,495,23.57
"Kiki Iriafen","WAS",19,499,26.26
"Lauren Betts","WAS",21,335,15.95
"Lucy Olsen","WAS",21,124,5.9
"Michaela Onyenwere","WAS",17,430,25.29
"Rori Harmon","WAS",21,64,3.05
"Shakira Austin","WAS",20,557,27.85
"Sonia Citron","WAS",19,606,31.89
