"player","team","mp_g","mp_g_star","min_diff","rating"
"Brittney Sykes+","TOR",0,0,0,81
"Carla Leite","POR",34,34,0,81
"Marina Mabrey+","TOR",0,0,0,80
"Brittney Griner+","CON",0,0,0,80
"Nyara Sabally+","TOR",0,0,0,80
"Olivia Nelson-Ododa+","CON",0,0,0,80
"Kiah Stokes","GSV",34,31,-3,80
"Tiffany Hayes","GSV",27,31,4,80
"Brionna Jones+","ATL",0,0,0,80
"Pauline Astier","NYL",21,21,0,80
"DeWanna Bonner+","PHO",0,0,0,80
"Sabrina Ionescu","NYL",27,21,-6,79
"Naz Hillmon","ATL",30,24,-6,79
"Skylar Diggins+","CHI",0,0,0,79
"Kahleah Copper","PHO",34,34,0,78
"Leonie Fiebich","NYL",27,20,-7,78
"Lauren Betts","WAS",17,23,6,78
"Makayla Timpson","IND",27,26,-1,78
"Kayla Thornton","GSV",34,28,-6,77
"Awa Fam+","SEA",0,0,0,77
"Courtney Vandersloot","CHI",26,28,2,76
"Emily Engstler","POR",34,34,0,76
"Kaila Charles","GSV",31,27,-4,75
"Michaela Onyenwere","WAS",26,22,-4,75
"Aneesah Morrow+","TOR",0,0,0,75
"Jade Melbourne","SEA",31,28,-3,75
"Awak Kuier","DAL",27,27,0,75
"Maddy Siegrist","DAL",20,27,7,75
"Aaliyah Edwards","CON",34,34,0,74
"Azura Stevens","CHI",31,26,-5,74
"Isabelle Harrison+","TOR",0,0,0,74
"Han Xu","NYL",13,18,5,74
"Rae Burrell+","LAS",0,0,0,74
"Rebekah Gardner","NYL",13,18,5,74
"Cheyenne Parker-Tyus","LVA",17,28,11,74
"Sarah Ashlee Barker+","POR",0,0,0,73
"Flau'jae Johnson","SEA",34,27,-7,73
"Sydney Taylor","CHI",24,26,2,73
"Leïla Lacan+","CON",0,0,0,73
"Marine Johannes","NYL",19,17,-2,73
"Kaitlyn Chen","GSV",23,24,1,72
"Cameron Brink","LAS",23,30,7,72
"Emma Čechová","MIN",16,20,4,72
"Cecilia Zandalasini+","GSV",0,0,0,71
"Jovana Nogić+","PHO",0,0,0,71
"Laeticia Amihere","GSV",16,24,8,71
"Kennedy Burke+","CON",0,0,0,71
"Karlie Samuelson","POR",34,34,0,71
"Laura Juškaitė","TOR",40,40,0,71
"Tyasha Harris","IND",18,22,4,71
"Katie Lou Samuelson","SEA",19,24,5,71
"Antonia Delaere+","MIN",0,0,0,70
"Dorka Juhász+","MIN",0,0,0,70
"Alanna Smith","DAL",27,23,-4,70
"Madina Okot","ATL",10,18,8,70
"Lexie Hull","IND",27,21,-6,70
"Cotie McMahon","WAS",20,18,-2,70
"Maya Caldwell","MIN",17,19,2,70
"Aziaha James+","DAL",0,0,0,70
"Valeriane Ayayi","PHO",22,27,5,70
"Ezi Magbegor","SEA",25,24,-1,70
"Rebecca Allen","NYL",11,15,4,69
"Jacy Sheldon","CHI",26,22,-4,69
"Ariel Atkins","LAS",34,27,-7,69
"Stephanie Talbot","LVA",28,24,-4,69
"Noémie Brochant","PHO",33,26,-7,69
"Elizabeth Williams","CHI",21,22,1,69
"Jewell Loyd","LVA",34,24,-10,69
"Erica Wheeler","LAS",34,26,-8,69
"Stefanie Dolson","SEA",19,23,4,69
"Kia Nurse","TOR",40,40,0,68
"Serah Williams+","POR",0,0,0,68
"Frieda Bühner+","POR",0,0,0,68
"Myisha Hines-Allen","IND",17,20,3,68
"Raegan Beers","CON",30,34,4,68
"Isobel Borlase","ATL",14,17,3,68
"Gabriela Jaquez","CHI",23,21,-2,68
"Monique Akoa Makani","LAS",26,25,-1,67
"Te-Hina PaoPao","ATL",12,16,4,67
"Charlisse Leger-Walker","CON",34,34,0,67
"Odyssey Sims","DAL",23,21,-2,67
"Jordan Horston","SEA",22,21,-1,67
"Maria Conde+","TOR",0,0,0,66
"Nell Angloma","CON",32,33,1,66
"Georgia Amoore","WAS",24,16,-8,66
"Brianna Turner","LVA",21,21,0,66
"Raven Johnson","IND",14,18,4,66
"Betnijah Laney-Hamilton","WAS",12,16,4,66
"Diamond Miller","CON",34,33,-1,66
"Marine Fauthoux","NYL",11,13,2,66
"Tonie Morgan+","LAS",0,0,0,66
"Rachel Banham","CHI",15,20,5,66
"Zia Cooke","SEA",18,20,2,66
"Chance Gray","LAS",14,23,9,66
"Lexi Held","PHO",22,23,1,66
"Saniya Rivers","CON",34,32,-2,65
"Alicia Flórez","WAS",10,15,5,65
"Luisa Geiselsöder+","POR",0,0,0,65
"Teja Oblak","POR",28,31,3,64
"Nyadiew Puoch","POR",34,31,-3,64
"Sami Whitcomb","PHO",22,21,-1,64
"Dana Evans+","LVA",0,0,0,60
